Timestamp,SF ID of the candidate whose project is being reviewed,GitHub repo link under review,Is the GitHub link provided proper?,Folder structure is inline with the MiniProject template,"GitHub actions are added and are working for Build (Windows + Linux), Analysis, Unit testing",Clone and build works on Linux and Windows,High level and low level requirements are captured clearly with SWAT analysis,Design of the project is captured clearly with UML diagrams,Test plan captures Integration and unit test plans to test all the requirements,Multi function and Mutifile Approach is followed in the implementation of code,Number of Unit test cases written in total,Code is commented in Doxygen style and can generate document,"Makefile is written to build (Windows +Linux), Test unit test cases, Analyze(Static + Dynamic), Code Coverage ",Code is implemented using best practices [Comments are added for each function],"Code is implemented using best practices [Meaningful names for variables, functions and files]",Code is implemented using best practices [Dynamic memory is freed after use],"Code is implemented using best practices [Typedef used for enums, structures and function pointers]",Code is implemented using best practices [Structures used are passed to functions by pointers],Code is implemented using best practices [Use of function pointers],Code is implemented using best practices [Unit test cases to test all the written code - Code coverage],Overall Concepts/Elements/Components that you like about this project,Any other comments,Overall Concepts/Elements/Components that needs improvement in this project
15-04-2021 15:04,257579,https://github.com/Shobzy/257579-MINIPROJECT,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,No,No,No,No,Implemented correctly,It's a good starting project in c with makefile and unit testing,None,Structures
15-04-2021 15:04,259958,https://github.com/swapnilkhandekar999/financialcalculator.git,Yes,Some folders are missing,Yes,Yes,Yes,Needs improvements,No,Yes,4,Need improvement,Yes,Need improvement,Implemented correctly,No,No,No,No,Implemented correctly,The Project is well structured and all the workflows have build properly,"There are bits and pieces missing like one uml diagram, test plans. Also, he/she has not used structure, so can be done better with structure.","The project covers all basic things, just can use structures for ease."
15-04-2021 15:05,259733,https://github.com/thesingh07/259733-Mini-Project.git,Yes,Yes,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,Good idea just needs to be completed,,"Needs to be completed, can come up as a good project once implemented"
15-04-2021 15:05,260567,https://github.com/Prerna983/260567_Mini_Project.git,Yes,Yes,Yes,Yes,Needs improvements,No,Yes,Yes,8,Need improvement,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Good selection of problem statement .There is proper implementation of all the files and well structured.,,There are some topics missing which needs to be completed and improved in design and requirements folder.
15-04-2021 15:05,265450,https://github.com/praveenct7/Ltts_Mini_Project,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,No,Good Implementation ,,test.c file did not contain any unit test cases
15-04-2021 15:05,264154,https://github.com/SuprabhaBhat/LnT-C-MiniProject-.git,Yes,Yes,No,Yes,No,No,Needs improvements,Needs improvements,13,No,Need improvement,Need improvement,Implemented correctly,Implemented correctly,No,No,No,Need improvement,The project topic is good.,,"SWOT analysis, Low level and high level designs are need to be done. "
15-04-2021 15:05,261628,https://github.com/prathyuyerragudi/prathyu.git,Yes,No,No,Yes,No,Yes,No,No,0,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Topic of the project,can do much better,Very good project but poor implementation
15-04-2021 15:06,258070,https://github.com/PramodhMahadeshKM/MiniProject_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Needs improvements,Needs improvements,3,Need improvement,Need improvement,No,Implemented correctly,Need improvement,Need improvement,No,No,Need improvement,All the things are structured in very well manner,,Code can be written in still detailed using all the things.
15-04-2021 15:06,259841,https://github.com/Thirthashri/ltts_project.git,Yes,Yes,Errors are shown,Errors during compilation,Needs improvements,Needs improvements,Needs improvements,Needs improvements,10,Yes,Need improvement,Implemented correctly,Need improvement,Need improvement,No,No,No,Implemented correctly,Very good idea,,Arrange the readme files properly. Use the markdown language to edit readme's instead of adding images of tables and docs. got the error of stdio_ext.h no such file or dir. Add the badges correctly for cppcheck and build. Fix these issues.
15-04-2021 15:06,256203,https://github.com/somyagupta-2910/LTTS_MiniProject_256203.git,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0,Yes,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Documentation,No,Testing
15-04-2021 15:06,280950,https://github.com/Hanumakumar123/Mini-Project-AppliedSDLC.git,Yes,Some folders are missing,No,No,Needs improvements,No,No,Needs improvements,1,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Some of the files are added.,,Need to upload remaining files
15-04-2021 15:06,260902,https://github.com/satyadevkalakonda/LTTS_Project.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,I like the way of structured  contents and its very descriptive to viewer,,According to my view  No improvements 
15-04-2021 15:06,260904,https://github.com/Lahari-1999/LTTS_C_Miniproject_260904,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,excecuted in a professional way,,nothing
15-04-2021 15:06,260025,https://github.com/IshaPrabhu-260025/MiniProject-C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,project requirements and specifications in good manner,Nothing,Nothing
15-04-2021 15:07,256182,https://github.com/256182/MINI_PROJECT_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Need improvement,Yes,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,very well implemented ,documentation should be checked again. requires small changes in documentation only.,well described and everything was easy to understand at a glance.
15-04-2021 15:07,255918,https://github.com/NiX-08/AppliedSDLC_Template.gi,Yes,Yes,Yes,Yes,Needs improvements,No,Yes,Yes,5,No,Need improvement,Need improvement,Implemented correctly,Need improvement,Need improvement,Need improvement,No,Need improvement,Did not find in sync with title and implementation of code,,Requirements and design  should be more clear
15-04-2021 15:07,258298,https://github.com/harish1543/Step-in-Mini-Project,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,Yes,0,No,No,Need improvement,Implemented correctly,No,No,No,Implemented correctly,No,The important sorting algorithms are taken into consideration for this project,,Proper testing is needed. Please add that also if you get time. Good work till now!
15-04-2021 15:07,259049,https://github.com/259049/MiniProject_StepIn.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,Needs improvements,Yes,12,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,unit testing is good,,makefile
15-04-2021 15:07,258070,https://github.com/PramodhMahadeshKM/MiniProject_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Yes,Yes,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,The project idea is really good and unique. Its great to see an electrical engineering based concept project. The project mostly follows all the templates mentioned for mini project,,Would like to see multi-files rather than clubbing everything into one single file named function.c
15-04-2021 15:08,264150,Not available,No,No,No,No,No,No,No,No,Not available,No,No,No,No,No,No,No,No,No,Not available,,Not available
15-04-2021 15:08,256644,https://github.com/256644/ltts-miniproject.git,Yes,Some folders are missing,Errors are shown,Errors during compilation,Needs improvements,No,Needs improvements,Yes,2,Yes,Need improvement,Need improvement,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Code quality can be enhanced.,,More test cases can be added.
15-04-2021 15:08,259049,https://github.com/259049/MiniProject_StepIn.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,Needs improvements,Yes,12,Yes,Errors exist in makefile,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Unit testing is good.,,Makefile need to improve
15-04-2021 15:08,255926,https://github.com/255926/LTTSMiniProject,Yes,No,No,No,No,Needs improvements,No,Needs improvements,0,Yes,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,No,No,No,There's something interesting in the project called LaTex and its new for me,,You may have to change the folder names as in the MiniProject template so won't lose marks or your scoring because of it.
15-04-2021 15:08,258088,https://github.com/nikhilshetty589/STEPIN-PROJECT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,Implemented correctly,A great project with all the requirements implemented efficiently,None,None
15-04-2021 15:09,264151,Not available,No,No,No,No,No,No,No,No,Not available,No,No,No,No,No,No,No,No,No,Not available,,Not available
15-04-2021 15:09,255934,https://github.com/255934/COVID_PATIENT_MANAGEMENT_SYSTEM.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Innovative topic,Very good work,Can implement on a larger scale
15-04-2021 15:09,255990,https://github.com/jayavaidy/LTTSMiniProj_Connect4.git,Yes,Yes,No,Errors during compilation,No,No,Needs improvements,Yes,8,Yes,Need improvement,Implemented correctly,No,No,No,No,No,Implemented correctly,Concept was simple,,Function pointer not used also while running in windows it is showing error
15-04-2021 15:09,256622,https://github.com/256622/bank_management_system,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Nothing is implemented in this project.,,Nothing is implemented in this project.
15-04-2021 15:09,256653,https://github.com/256653/LnT_MiniProject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Needs improvements,Needs improvements,Yes,1,Yes,Yes,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Implementation is proper,,Testing & Design
15-04-2021 15:09,256644,https://github.com/256644/ltts-miniproject.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Need improvement,Implemented correctly,presentation is good,Good,maintain the same
15-04-2021 15:10,267245,https://github.com/Pranali216/Pranali-sMiniProjectLTTS,Yes,Yes,No,No,Yes,Yes,No,Needs improvements,1,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Good code written,,Need to do multifile approach
15-04-2021 15:10,260056,https://github.com/sstharval/miniProject_stepIn_260056.git,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,.,Yes,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,The project is very systematic and neat and clean and has also tried to implement all the concepts taught in class. ,All the best,In Test plan and output you need to do some work otherwise project is well and good.
15-04-2021 15:11,259894,https://github.com/259894/MyFirstProject,Yes,Yes,Yes,Yes,Yes,No,No,Yes,none,Yes,Yes,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,No,Compiling with git inspection.,Need to finish documentation.,Documentation is unfinished.
15-04-2021 15:11,260254,https://github.com/sourav090998/260254-PROJECT.git,Yes,Some folders are missing,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,No,The project is based on electrical based concept which I genuinely liked it and it seems different,,None of the folders and programming part are upload. Kindly do that.
15-04-2021 15:11,261796,https://github.com/shweta350/MiniCProject,Yes,No,No,No,No,Needs improvements,No,No,0,No,No,No,No,No,No,No,No,No,Good problem statement.,,Please follow the folder structure template. Do no add a word file instead make use of readme files for all the folders which will be easy for the users.
15-04-2021 15:11,264002,"https://github.com/abhishekcusat11/LTTS_Mini_Project	",Yes,Yes,No,No,No,No,No,No,0,No,No,Implemented correctly,Need improvement,No,Need improvement,Need improvement,No,No,Multifile programmming,,Documentation
15-04-2021 15:11,264002,https://github.com/abhishekcusat11/LTTS_Mini_Project,Yes,Yes,No,No,No,No,No,No,0,No,No,Need improvement,Need improvement,No,Need improvement,Need improvement,No,No,Multifile ,,Documentation
15-04-2021 15:11,259995,https://github.com/Asmita-Kajrolkar/LnT-Mini-Project.git,Yes,Yes,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,No,Liked the concept,Need to include all your source codes,Title
15-04-2021 15:11,263698,https://github.com/sirisatwika/LandT_MiniProject.git,Yes,Some folders are missing,No,No,Yes,Needs improvements,Yes,Yes,12,Need improvement,Need improvement,No,Implemented correctly,Need improvement,No,No,No,Need improvement,documentation,,makefile should be improved and workflows are not there
15-04-2021 15:12,267254,https://github.com/Rohineebhadavankar/Mini---project.git,Yes,Some folders are missing,No,No,Yes,No,No,Yes,0,Yes,Need improvement,Need improvement,Implemented correctly,Implemented correctly,No,Need improvement,No,No,Good idea with clear requirements,,"Proper UML diagrams, test plan, test cases should be added"
15-04-2021 15:12,255974,https://github.com/shivani-11318/mr.librarian,Yes,Yes,No,No,No,Yes,Yes,Yes,0,No,No,Implemented correctly,Implemented correctly,No,No,Implemented correctly,No,No,uml diagrams and specifications,Write unit test cases,Write unit test cases for source code
15-04-2021 15:12,258070,https://github.com/PramodhMahadeshKM/MiniProject_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,testing,No,Nothing
15-04-2021 15:12,264662,https://github.com/shine-jasmine/MINIPROJECTLTTS,Yes,No,No,Makefile to build on both OS is missing,No,Yes,No,No,0,No,No,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,No,No,The project is good but not standard template is followed,None,Standard template makefile
15-04-2021 15:12,261653,https://github.com/261653/stepin-miniproject.git,Yes,Yes,Yes,Yes,Needs improvements,Yes,Yes,Yes,3,Yes,Need improvement,Implemented correctly,Implemented correctly,No,No,No,No,Implemented correctly,Documented correctly,,Makefile needs improvement
15-04-2021 15:12,260733,https://github.com/260733/MiniProject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Needs improvements,Needs improvements,No,No,0,No,No,Need improvement,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,No,"Good concept of the project, no name given though.",,Multifiles required with all the designs and high level and level test planning.
15-04-2021 15:12,259990,https://github.com/rmjha99/Miniproject.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,executed profesionally,,nothing
15-04-2021 15:12,260310,https://github.com/7ShouryaSingh70/Mini-Pro.git,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,No,No,No,No,No,Good Implementation ,,can include more operations 
15-04-2021 15:12,260894,https://github.com/MeherThanmaiee/Mini_Project.git,Yes,Yes,Yes,Yes,Yes,Yes,Needs improvements,Yes,No,No,Need improvement,No,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Need improvement,Need improvement,Concept is really good,,Modifications  to be done at some areas
15-04-2021 15:13,295488,https://github.com/BhoomikaBharadwaj/bhoomikabharadwaj.git,Yes,No,No,No,Needs improvements,Needs improvements,No,No,0,No,No,No,No,No,No,No,No,No,project is still under development ,,needs time to complete the project
15-04-2021 15:13,256322,https://github.com/amansurya/256322-MiniProject,Yes,Yes,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need to improve a lot,,Need to improve a lot
15-04-2021 15:13,260877,https://github.com/Mallineni-Venkata-Meghana/Mini-Project.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,N/A,,Refer to template and implement the project.
15-04-2021 15:13,259907,https://github.com/VarunNagesh/Mini-Project.git,Yes,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,The project has not yet been updated in the github link. I can only review it once any substantial amount of code is pushed.,Please update the link so that it will be easier for us to collaborate and help each other out.,Hope you will do a great job. All the best! :)
15-04-2021 15:13,267245,https://github.com/Pranali216/Pranali-sMiniProjectLTTS.git,Yes,Yes,No,No,Yes,Yes,No,No,0,No,No,No,No,No,Need improvement,No,No,No,The like interface and folder creation in project. Requirements folder is totally fine. And I like UML diagrams. ,,Implementation of codes and unity testing and make files. These are improvements in project.
15-04-2021 15:13,263879,https://github.com/ayluridivyasri/mini-project,Yes,No,No,No,No,No,No,No,0,No,No,No,Implemented correctly,No,No,No,No,No,At least included .c file ,Just done with 2% of project. ,"Make file, Documentation, SDLC, GIT HUB Actions, Unit testing "
15-04-2021 15:13,259035,https://github.com/Dhanushu1999/STEPin_Mini_Project.git,Yes,Yes,No,Yes,Needs improvements,Needs improvements,Needs improvements,Yes,4,No,Yes,Need improvement,Implemented correctly,No,No,Implemented correctly,No,Implemented correctly,Code is simple but effective.Multifile approach makes code to be user friendly,,Github actions need to be added.Documentation should be done better.
15-04-2021 15:13,257546,https://github.com/257546/mini_project,Yes,Yes,Yes,Yes,Yes,Yes,Needs improvements,Yes,-,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Every thing is proper,,Good
15-04-2021 15:13,256300,https://github.com/adithya2000/256300_MiniProject_StepIn,Yes,Yes,Yes,Yes,Needs improvements,No,Yes,Yes,6,No,Yes,Need improvement,Implemented correctly,Need improvement,Need improvement,No,No,Implemented correctly,Implemented good and clean way. File structure is good and easy to understand,,"Add comment for every function, use of function pointer and can use structures for passed to functions by pointers "
15-04-2021 15:13,265158,https://github.com/imrahulkr/MiNi_Project.git,Yes,Yes,No,Yes,No,No,No,No,no test cases implemented,No,No,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,No,The implementation of the project is very neat and organised,,make file and unit testing needs to be implemented
15-04-2021 15:14,258316,https://github.com/TheInvincible8/LTTS_Mini_Project,Yes,Yes,Yes,Makefile to build on both OS is missing,No,No,No,Yes,0,No,Yes,Need improvement,Implemented correctly,No,No,No,No,Implemented correctly,Its a unique topic than others,,I really wonder how you could  add testing to this project. Would like to see its implementation. 
15-04-2021 15:14,256203,https://github.com/somyagupta-2910/LTTS_MiniProject_256203.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,No,1,No,No,No,Implemented correctly,Need improvement,No,Need improvement,No,No,The way of approach to the project is very good  ,,The implementation can be done still in better way
15-04-2021 15:14,257170,https://github.com/Himanshu257170/stepin_miniproject.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,NO Comments,,NO Comments
15-04-2021 15:14,263680,https://github.com/srividyaghanta534/LnT_MiniProject.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,Yes,No,4,No,Need improvement,No,Implemented correctly,Need improvement,No,No,No,Implemented correctly,liked the requirements and architecture folders.,well presented. Needs to use the multifile approach for the functions.,Multifile approach should be followed
15-04-2021 15:15,265152,https://github.com/tiwarialok/MINI_PROJECT.git,Yes,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,code itself is not implemented,,needs to atleast write the code to be implemented
15-04-2021 15:15,295556,https://github.com/Bhuvana-295556/Calculator.git,Yes,No,No,Makefile to build on both OS is missing,No,Needs improvements,Needs improvements,Yes,10,No,Need improvement,No,Implemented correctly,No,No,No,No,Need improvement,The project is simple and has all workflows checked,"I think maybe one of the yml files does not run make but another command like echo. Please look into that. Also the folder structure is quite messed up. Also, I think another test framework is used which I have no idea about.",Folder structure needs to be improved.
15-04-2021 15:15,256018,https://github.com/256018/MiniProject_C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,No,Implemented correctly,The project is simple but implemented in a very organized and efficient way and it follows all the templates required for the mini project.,,Would like to see more functionalities provided in the src folder.
15-04-2021 15:15,258297,https://github.com/anonymous3434/tic_tac_toe,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,"only one file is uploaded in implementation folder, therfore could not understand complete view",,Complete folders are not avilable
15-04-2021 15:15,256547,https://github.com/Vijay-333/Mini_Project-1.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not yet started,,Working with github
15-04-2021 15:15,255923,https://github.com/255923/mini_project_LnT/tree/main/4_TestPlanAndOutput,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Very nicely done.,,testcases
15-04-2021 15:16,256547,https://github.com/Vijay-333/Mini_Project-1,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not yet started,,"Working with github
"
15-04-2021 15:16,259804,https://github.com/Annappa259804/MiniProject_C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,neat code,,nothing
15-04-2021 15:16,264152,https://github.com/Mithunbharadwaj7/miniproject.git,Yes,Yes,No,No,No,No,No,No,Not available,No,Need improvement,No,No,No,No,No,No,No,Not available,,Not available
15-04-2021 15:16,256151,"https://github.com/256151/LTTS_MiniProject_C.git	",Yes,Yes,Yes,Makefile to build on both OS is missing,Yes,Yes,No,Needs improvements,0,Yes,No,Need improvement,No,No,No,No,No,No,Requirement analysis is done properly and design part is also good,,Implementation is missing
15-04-2021 15:16,265459,https://github.com/geek-gopi/C_Mini_Project_265459,Yes,Yes,Errors are shown,No,Yes,Yes,No,No,3,Need improvement,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,good analysis of project.,,need upload implementation part
15-04-2021 15:16,265093,stepIn-miniproject.git,Yes,Yes,No,No,No,No,No,No,0,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,not yet started,,"repo link should have .git extension, i was not able to view your repository."
15-04-2021 15:16,255906,https://github.com/PothuNikhil/255906_Online_Voting.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Need improvement,Implemented correctly,Very good projected thought as well as implemented,,Very good concepts and well understood from another user side.
15-04-2021 15:16,280515,https://github.com/stepin280515/Diamond-Collection.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No implementation ,,None
15-04-2021 15:16,265104," 	https://github.com/265104/LnT_mini_proj.git",Yes,Yes,No,No,No,No,No,No,-,No,No,No,No,No,No,No,No,No,Nothing is there to review.  i think He/She not started the minproject,-,-
15-04-2021 15:17,260838,https://github.com/Govardhan-Mogili/mini-project.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Needs improvements,11,Yes,Yes,Implemented correctly,Implemented correctly,No,No,No,No,Implemented correctly,design of architecture,clean implementation,multifiles need to be improved
15-04-2021 15:17,259907,https://github.com/VarunNagesh/Mini-Project,Yes,No,No,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,NA,,NA
15-04-2021 15:17,255967,https://github.com/ShodaPratheepKumarReddy/stepin255967.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,No,Yes,No,Implemented correctly,Implemented correctly,No,No,No,Implemented correctly,The code is modular and easy to read and understand,,Has covered quite a few concepts but can probably make use of structures for better management of data.
15-04-2021 15:17,265481,https://github.com/mohammedowez/Employee_Record_System.git,No,Yes,No,Makefile to build on both OS is missing,No,No,No,Yes,3(one commented),No,No,No,Implemented correctly,No,Implemented correctly,Implemented correctly,Implemented correctly,No,File handling concept is very nicely used in this project.,"You have to provide "" https://github.com/mohammedowez/Employee_Record_System.git "" this link. ","Please complete the pending work to add diagrams, doxygen commenting, github actions, and also build a makefile to operate both in windows and linux."
15-04-2021 15:17,258089,https://github.com/sourabhrajshekar/stepin-project.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Project is not yet completed,,Complete the project
15-04-2021 15:17,258162,https://github.com/Chinmayi-bc/LnT__STEPin__mini__project.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Needs improvements,Yes,No,No,0,No,No,No,No,No,No,No,No,No,The requirements analysis has been done properly along with a good diagram for the architecture/.,,SWOT analysis could be mentioned explicitly. And also a bit of code/implementation could be included.
15-04-2021 15:18,256102,https://github.com/PrakharRastogi123/LTTS_Project_In_C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Yes,No,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Nicely don,,Nicely done
15-04-2021 15:19,266500,https://github.com/ReenuRitaPS/miniproject266500,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Not started yet.,Not started yet.,Not started yet.
15-04-2021 15:19,292020,https://github.com/anagarjnv889/MiniProject_LT292020.git,Yes,Yes,Yes,Yes,Yes,Needs improvements,Yes,Yes,5,No,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Implemented correctly,workflows,,Good
15-04-2021 15:19,261807,AppliedSDLC_template,No,Yes,No,No,No,No,No,No,0,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,project not yet started,,Given repo link should contain .git as extension.
15-04-2021 15:20,265667,https://github.com/Manoj196/Project_265667.git,Yes,Yes,No,Yes,Yes,Needs improvements,No,Needs improvements,0,No,No,No,Implemented correctly,No,No,No,No,No,project selection is good,,"Add badges, makefile and unit test cases."
15-04-2021 15:20,261775,https://github.com/KhubiThakkar/Periodic-Table.git,Yes,Some folders are missing,Errors are shown,Errors during compilation,Yes,Needs improvements,Yes,Yes,4,Yes,Need improvement,Need improvement,Need improvement,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,All the C concepts are implemented properly,No Comments,Some edge test cases can be implemented.
15-04-2021 15:20,258092,https://github.com/28-shravya/stepin_project.git,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10,No,Yes,Need improvement,Implemented correctly,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,"The requirements, design and scope of the project was quite beautifully elaborated.",-,Github actions/workflows were not used. 
15-04-2021 15:21,260253,https://github.com/tareninayak9921/Mini_Projct_260253#readme,Yes,No,No,No,Yes,No,Yes,No,23 as mentioned,No,No,No,No,No,No,No,No,No,Documentation,,NA
15-04-2021 15:21,258358,https://github.com/cooldude98/tic_tac_toe_2_players,Yes,Yes,Yes,Yes,No,Yes,Needs improvements,No,0,No,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,concept is good,,Complete the project
15-04-2021 15:21,287533,https://github.com/lavanya-k19/QUICK-MEAL-ORDERING.git,Yes,Some folders are missing,No,No,No,No,Needs improvements,No,1,No,Need improvement,No,No,No,No,Implemented correctly,Need improvement,Need improvement,main code,"needs a lot of improvement , did not follow the template many folders are missing",needs more improvement
15-04-2021 15:21,261421,https://github.com/V-One1/LTTS_Mini_Project.git,Yes,Some folders are missing,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,Implemented correctly,Need improvement,Implemented correctly,Need improvement,Need improvement,No,Need improvement,I liked the alignments and proper usage of concepts,Good,Na
